PRICEEACH,PRODUCTLINE,MSRP,COUNTRY,DEALSIZE,YEAR,MONTH,WEEKDAY,IS_HOLIDAY,QUANTITYORDERED
100.0,Classic Cars,214.0,Canada,Medium,2005.0,5.0,6.0,False,23.0
100.0,Classic Cars,214.0,Spain,Large,2005.0,5.0,1.0,False,50.0
99.91,Motorcycles,118.0,USA,Medium,2003.0,2.0,0.0,False,39.0
96.34,Motorcycles,118.0,Australia,Small,2003.0,4.0,1.0,False,29.0
100.0,Motorcycles,118.0,France,Medium,2003.0,7.0,1.0,False,27.0
100.0,Motorcycles,118.0,USA,Medium,2003.0,8.0,0.0,False,37.0
100.0,Motorcycles,118.0,USA,Medium,2003.0,10.0,4.0,False,37.0
100.0,Motorcycles,118.0,USA,Medium,2003.0,10.0,1.0,False,27.0
100.0,Motorcycles,118.0,France,Medium,2003.0,11.0,1.0,True,42.0
96.34,Motorcycles,118.0,Norway,Medium,2003.0,11.0,1.0,False,38.0
100.0,Motorcycles,118.0,USA,Medium,2003.0,12.0,0.0,False,24.0
100.0,Motorcycles,118.0,Japan,Medium,2004.0,1.0,0.0,True,23.0
100.0,Motorcycles,118.0,Australia,Medium,2004.0,2.0,4.0,False,47.0
100.0,Motorcycles,118.0,USA,Small,2004.0,4.0,5.0,False,22.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,5.0,1.0,False,44.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,6.0,0.0,False,40.0
100.0,Motorcycles,118.0,France,Small,2004.0,7.0,4.0,False,22.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,8.0,4.0,False,47.0
96.34,Motorcycles,118.0,France,Medium,2004.0,9.0,0.0,False,39.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,10.0,4.0,False,34.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,11.0,1.0,False,45.0
100.0,Motorcycles,118.0,USA,Medium,2004.0,11.0,0.0,False,20.0
68.92,Motorcycles,118.0,Japan,Small,2004.0,11.0,1.0,True,40.0
51.15,Motorcycles,118.0,Australia,Small,2004.0,12.0,4.0,False,26.0
100.0,Motorcycles,118.0,Australia,Medium,2005.0,2.0,2.0,False,39.0
44.51,Motorcycles,118.0,USA,Small,2005.0,3.0,3.0,False,50.0
100.0,Motorcycles,118.0,France,Medium,2005.0,4.0,3.0,False,45.0
100.0,Motorcycles,118.0,Spain,Medium,2005.0,5.0,4.0,False,45.0
100.0,Motorcycles,193.0,USA,Medium,2003.0,2.0,0.0,False,27.0
100.0,Motorcycles,193.0,Australia,Large,2003.0,4.0,1.0,False,46.0
100.0,Motorcycles,193.0,France,Large,2003.0,7.0,1.0,False,31.0
100.0,Motorcycles,193.0,USA,Medium,2003.0,8.0,0.0,False,33.0
100.0,Motorcycles,193.0,USA,Medium,2003.0,10.0,4.0,False,22.0
100.0,Motorcycles,193.0,USA,Medium,2003.0,10.0,1.0,False,20.0
100.0,Motorcycles,193.0,France,Large,2003.0,11.0,1.0,True,41.0
100.0,Motorcycles,193.0,Norway,Large,2003.0,11.0,1.0,False,45.0
100.0,Motorcycles,193.0,USA,Large,2003.0,12.0,0.0,False,49.0
100.0,Motorcycles,193.0,Japan,Medium,2004.0,1.0,0.0,True,34.0
100.0,Motorcycles,193.0,Australia,Large,2004.0,2.0,4.0,False,49.0
100.0,Motorcycles,193.0,USA,Large,2004.0,4.0,0.0,False,39.0
100.0,Motorcycles,193.0,USA,Large,2004.0,5.0,1.0,False,43.0
100.0,Motorcycles,193.0,USA,Large,2004.0,6.0,0.0,False,41.0
100.0,Motorcycles,193.0,France,Medium,2004.0,7.0,4.0,False,36.0
100.0,Motorcycles,193.0,USA,Medium,2004.0,8.0,4.0,False,27.0
100.0,Motorcycles,193.0,Finland,Medium,2004.0,9.0,3.0,False,29.0
100.0,Motorcycles,193.0,USA,Medium,2004.0,10.0,4.0,False,20.0
100.0,Motorcycles,193.0,USA,Large,2004.0,11.0,1.0,False,37.0
100.0,Motorcycles,193.0,USA,Medium,2004.0,11.0,0.0,False,26.0
76.67,Motorcycles,193.0,Japan,Small,2004.0,11.0,1.0,True,39.0
100.0,Motorcycles,193.0,USA,Medium,2005.0,1.0,2.0,False,22.0
100.0,Motorcycles,193.0,Australia,Medium,2005.0,2.0,2.0,False,22.0
86.77,Motorcycles,193.0,USA,Small,2005.0,3.0,3.0,False,21.0
100.0,Motorcycles,193.0,UK,Large,2005.0,4.0,4.0,False,66.0
100.0,Motorcycles,193.0,Spain,Large,2005.0,5.0,4.0,False,56.0
100.0,Classic Cars,136.0,Denmark,Large,2003.0,2.0,1.0,False,50.0
100.0,Classic Cars,136.0,Austria,Medium,2003.0,4.0,0.0,False,46.0
100.0,Classic Cars,136.0,UK,Medium,2003.0,6.0,3.0,False,33.0
100.0,Classic Cars,136.0,USA,Medium,2003.0,8.0,6.0,False,49.0
100.0,Classic Cars,136.0,Finland,Medium,2003.0,10.0,0.0,False,32.0
100.0,Classic Cars,136.0,Sweden,Medium,2003.0,10.0,3.0,False,44.0
100.0,Classic Cars,136.0,France,Medium,2003.0,11.0,5.0,False,24.0
100.0,Classic Cars,136.0,UK,Medium,2003.0,11.0,4.0,False,26.0
100.0,Classic Cars,136.0,Spain,Medium,2003.0,11.0,2.0,False,45.0
100.0,Classic Cars,136.0,USA,Medium,2004.0,1.0,4.0,False,39.0
100.0,Classic Cars,136.0,USA,Medium,2004.0,2.0,3.0,False,49.0
100.0,Classic Cars,136.0,USA,Small,2004.0,5.0,4.0,False,20.0
100.0,Classic Cars,136.0,Canada,Medium,2004.0,6.0,3.0,False,27.0
100.0,Classic Cars,136.0,Belgium,Medium,2004.0,7.0,2.0,True,30.0
100.0,Classic Cars,136.0,Canada,Small,2004.0,8.0,4.0,False,25.0
100.0,Classic Cars,136.0,USA,Medium,2004.0,9.0,4.0,False,24.0
100.0,Classic Cars,136.0,USA,Small,2004.0,10.0,3.0,False,22.0
100.0,Classic Cars,136.0,UK,Medium,2004.0,11.0,0.0,False,33.0
64.93,Classic Cars,136.0,Norway,Medium,2004.0,11.0,4.0,False,47.0
48.05,Classic Cars,136.0,USA,Small,2004.0,11.0,6.0,False,25.0
75.47,Classic Cars,136.0,Spain,Small,2004.0,12.0,3.0,False,26.0
54.68,Classic Cars,136.0,France,Small,2004.0,12.0,2.0,False,48.0
100.0,Classic Cars,136.0,Finland,Medium,2005.0,1.0,0.0,False,39.0
100.0,Classic Cars,136.0,USA,Medium,2005.0,2.0,2.0,False,34.0
100.0,Classic Cars,136.0,France,Medium,2005.0,3.0,3.0,False,32.0
100.0,Classic Cars,136.0,USA,Large,2005.0,4.0,4.0,False,64.0
100.0,Classic Cars,136.0,USA,Small,2005.0,5.0,4.0,False,19.0
100.0,Classic Cars,147.0,Norway,Medium,2003.0,1.0,2.0,False,42.0
100.0,Classic Cars,147.0,France,Medium,2003.0,4.0,1.0,False,31.0
100.0,Classic Cars,147.0,Spain,Medium,2003.0,5.0,2.0,False,22.0
100.0,Classic Cars,147.0,USA,Medium,2003.0,7.0,3.0,False,26.0
100.0,Classic Cars,147.0,Singapore,Medium,2003.0,9.0,4.0,False,20.0
100.0,Classic Cars,147.0,Austria,Medium,2003.0,10.0,1.0,False,21.0
100.0,Classic Cars,147.0,UK,Medium,2003.0,11.0,3.0,False,33.0
100.0,Classic Cars,147.0,USA,Medium,2003.0,11.0,3.0,False,28.0
100.0,Classic Cars,147.0,France,Medium,2003.0,11.0,1.0,False,26.0
100.0,Classic Cars,147.0,USA,Medium,2003.0,12.0,1.0,False,31.0
100.0,Classic Cars,147.0,Singapore,Large,2004.0,2.0,2.0,False,48.0
100.0,Classic Cars,147.0,USA,Medium,2004.0,3.0,3.0,False,50.0
100.0,Classic Cars,147.0,USA,Medium,2004.0,5.0,1.0,False,28.0
100.0,Classic Cars,147.0,Singapore,Medium,2004.0,6.0,1.0,False,26.0
100.0,Classic Cars,147.0,Australia,Medium,2004.0,7.0,0.0,False,32.0
100.0,Classic Cars,147.0,USA,Large,2004.0,8.0,3.0,False,44.0
100.0,Classic Cars,147.0,Sweden,Medium,2004.0,9.0,2.0,False,30.0
100.0,Classic Cars,147.0,USA,Medium,2004.0,10.0,2.0,False,38.0
100.0,Classic Cars,147.0,Canada,Medium,2004.0,10.0,4.0,False,40.0
61.99,Classic Cars,147.0,USA,Small,2004.0,11.0,3.0,False,46.0
100.0,Classic Cars,147.0,Sweden,Medium,2004.0,11.0,4.0,False,26.0
100.0,Classic Cars,147.0,Australia,Medium,2004.0,11.0,0.0,False,27.0
100.0,Classic Cars,147.0,USA,Medium,2004.0,12.0,4.0,False,43.0
65.63,Classic Cars,147.0,Australia,Small,2005.0,1.0,3.0,False,35.0
100.0,Classic Cars,147.0,USA,Medium,2005.0,2.0,3.0,False,37.0
46.9,Classic Cars,147.0,Australia,Small,2005.0,3.0,2.0,False,37.0
100.0,Classic Cars,147.0,Canada,Medium,2005.0,5.0,6.0,False,27.0
100.0,Classic Cars,147.0,France,Medium,2005.0,5.0,1.0,False,38.0
100.0,Classic Cars,194.0,Philippines,Medium,2003.0,3.0,0.0,False,33.0
100.0,Classic Cars,194.0,France,Large,2003.0,5.0,3.0,True,42.0
100.0,Classic Cars,194.0,USA,Large,2003.0,7.0,2.0,False,42.0
100.0,Classic Cars,194.0,USA,Large,2003.0,9.0,4.0,False,48.0
100.0,Classic Cars,194.0,USA,Large,2003.0,10.0,4.0,False,41.0
100.0,Classic Cars,194.0,Australia,Medium,2003.0,11.0,1.0,False,30.0
100.0,Classic Cars,194.0,Norway,Medium,2003.0,11.0,2.0,False,27.0
100.0,Classic Cars,194.0,Germany,Medium,2003.0,11.0,3.0,False,21.0
100.0,Classic Cars,194.0,Spain,Medium,2003.0,12.0,1.0,False,20.0
100.0,Classic Cars,194.0,France,Large,2004.0,1.0,3.0,False,41.0
100.0,Classic Cars,194.0,Switzerland,Medium,2004.0,2.0,6.0,False,27.0
100.0,Classic Cars,194.0,Denmark,Medium,2004.0,4.0,4.0,False,28.0
100.0,Classic Cars,194.0,UK,Medium,2004.0,6.0,1.0,False,24.0
100.0,Classic Cars,194.0,Italy,Large,2004.0,7.0,1.0,False,44.0
100.0,Classic Cars,194.0,USA,Large,2004.0,8.0,0.0,False,50.0
100.0,Classic Cars,194.0,Switzerland,Medium,2004.0,8.0,0.0,False,21.0
100.0,Classic Cars,194.0,Germany,Medium,2003.0,10.0,5.0,False,33.0
100.0,Classic Cars,194.0,Germany,Medium,2004.0,10.0,5.0,False,33.0
100.0,Classic Cars,194.0,Sweden,Medium,2004.0,11.0,2.0,False,31.0
71.47,Classic Cars,194.0,USA,Small,2004.0,11.0,0.0,False,41.0
79.65,Classic Cars,194.0,Austria,Medium,2004.0,11.0,2.0,False,45.0
85.39,Classic Cars,194.0,Finland,Small,2005.0,1.0,3.0,False,33.0
76.0,Classic Cars,194.0,France,Medium,2005.0,2.0,3.0,False,45.0
99.04,Classic Cars,194.0,Sweden,Small,2005.0,3.0,3.0,False,26.0
100.0,Classic Cars,194.0,Austria,Small,2005.0,5.0,1.0,False,12.0
100.0,Classic Cars,207.0,Denmark,Large,2003.0,2.0,1.0,False,41.0
100.0,Classic Cars,207.0,Singapore,Medium,2003.0,4.0,2.0,False,33.0
100.0,Classic Cars,207.0,USA,Large,2003.0,6.0,1.0,False,46.0
100.0,Classic Cars,207.0,USA,Large,2003.0,8.0,4.0,False,33.0
100.0,Classic Cars,207.0,Spain,Medium,2003.0,9.0,6.0,False,20.0
100.0,Classic Cars,207.0,Singapore,Large,2003.0,10.0,2.0,False,44.0
100.0,Classic Cars,207.0,Italy,Large,2003.0,11.0,3.0,False,33.0
100.0,Classic Cars,207.0,USA,Medium,2003.0,11.0,4.0,False,21.0
100.0,Classic Cars,207.0,USA,Large,2003.0,11.0,2.0,False,47.0
100.0,Classic Cars,207.0,France,Large,2004.0,1.0,4.0,False,46.0
100.0,Classic Cars,207.0,Ireland,Large,2004.0,2.0,3.0,False,32.0
100.0,Classic Cars,207.0,Spain,Large,2004.0,3.0,4.0,False,42.0
100.0,Classic Cars,207.0,Finland,Large,2004.0,5.0,2.0,False,44.0
100.0,Classic Cars,207.0,USA,Medium,2004.0,7.0,1.0,False,35.0
100.0,Classic Cars,207.0,USA,Large,2004.0,8.0,4.0,False,41.0
100.0,Classic Cars,207.0,Italy,Large,2004.0,9.0,3.0,False,46.0
100.0,Classic Cars,207.0,UK,Medium,2004.0,10.0,3.0,False,31.0
100.0,Classic Cars,207.0,Denmark,Large,2004.0,10.0,4.0,False,38.0
64.0,Classic Cars,207.0,Norway,Small,2004.0,11.0,4.0,False,42.0
57.22,Classic Cars,207.0,France,Small,2004.0,11.0,5.0,False,33.0
52.36,Classic Cars,207.0,Spain,Small,2004.0,11.0,0.0,True,48.0
100.0,Classic Cars,207.0,France,Medium,2004.0,12.0,2.0,False,42.0
100.0,Classic Cars,207.0,USA,Medium,2005.0,1.0,6.0,False,32.0
100.0,Classic Cars,207.0,USA,Medium,2005.0,2.0,3.0,False,34.0
69.12,Classic Cars,207.0,France,Small,2005.0,3.0,3.0,False,33.0
100.0,Classic Cars,207.0,USA,Large,2005.0,5.0,3.0,False,36.0
100.0,Trucks and Buses,136.0,Norway,Medium,2003.0,1.0,2.0,False,27.0
100.0,Trucks and Buses,136.0,USA,Medium,2003.0,3.0,2.0,False,21.0
100.0,Trucks and Buses,136.0,Spain,Small,2003.0,5.0,2.0,False,21.0
100.0,Trucks and Buses,136.0,USA,Medium,2003.0,7.0,3.0,False,38.0
100.0,Trucks and Buses,136.0,Singapore,Medium,2003.0,9.0,4.0,False,30.0
100.0,Trucks and Buses,136.0,Austria,Medium,2003.0,10.0,1.0,False,49.0
100.0,Trucks and Buses,136.0,Australia,Medium,2003.0,11.0,3.0,False,43.0
100.0,Trucks and Buses,136.0,USA,Medium,2003.0,11.0,3.0,False,41.0
100.0,Trucks and Buses,136.0,France,Medium,2003.0,11.0,1.0,False,38.0
100.0,Trucks and Buses,136.0,Canada,Medium,2003.0,12.0,4.0,False,28.0
100.0,Trucks and Buses,136.0,France,Medium,2004.0,2.0,0.0,False,43.0
100.0,Trucks and Buses,136.0,USA,Medium,2004.0,3.0,3.0,False,25.0
100.0,Trucks and Buses,136.0,USA,Medium,2004.0,5.0,1.0,False,38.0
100.0,Trucks and Buses,136.0,Japan,Medium,2004.0,6.0,1.0,False,41.0
100.0,Trucks and Buses,136.0,Australia,Medium,2004.0,7.0,0.0,False,28.0
100.0,Trucks and Buses,136.0,USA,Small,2004.0,8.0,3.0,False,25.0
100.0,Trucks and Buses,136.0,Sweden,Medium,2004.0,9.0,2.0,False,41.0
100.0,Trucks and Buses,136.0,France,Medium,2004.0,10.0,0.0,False,39.0
100.0,Trucks and Buses,136.0,Canada,Small,2004.0,10.0,4.0,False,21.0
100.0,Trucks and Buses,136.0,USA,Medium,2004.0,11.0,3.0,False,27.0
99.21,Trucks and Buses,136.0,USA,Medium,2004.0,11.0,3.0,False,33.0
100.0,Trucks and Buses,136.0,Australia,Medium,2004.0,11.0,0.0,False,29.0
100.0,Trucks and Buses,136.0,USA,Medium,2004.0,12.0,4.0,False,49.0
100.0,Trucks and Buses,136.0,Australia,Large,2005.0,1.0,3.0,False,49.0
100.0,Trucks and Buses,136.0,USA,Small,2005.0,2.0,3.0,False,20.0
63.2,Trucks and Buses,136.0,Australia,Small,2005.0,3.0,2.0,False,39.0
100.0,Trucks and Buses,136.0,Canada,Medium,2005.0,5.0,6.0,False,40.0
100.0,Trucks and Buses,136.0,Spain,Large,2005.0,5.0,1.0,False,49.0
100.0,Motorcycles,150.0,USA,Medium,2003.0,2.0,0.0,False,21.0
100.0,Motorcycles,150.0,France,Large,2003.0,5.0,2.0,False,50.0
100.0,Motorcycles,150.0,France,Small,2003.0,7.0,1.0,False,20.0
100.0,Motorcycles,150.0,USA,Large,2003.0,8.0,0.0,False,49.0
100.0,Motorcycles,150.0,USA,Medium,2003.0,10.0,4.0,False,38.0
100.0,Motorcycles,150.0,Australia,Medium,2003.0,11.0,1.0,False,35.0
100.0,Motorcycles,150.0,France,Medium,2003.0,11.0,1.0,True,40.0
100.0,Motorcycles,150.0,USA,Medium,2003.0,11.0,1.0,False,28.0
100.0,Motorcycles,150.0,USA,Medium,2003.0,12.0,0.0,False,25.0
100.0,Motorcycles,150.0,France,Medium,2004.0,1.0,3.0,False,36.0
100.0,Motorcycles,150.0,France,Medium,2004.0,2.0,5.0,False,43.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,4.0,0.0,False,32.0
100.0,Motorcycles,150.0,USA,Large,2004.0,5.0,1.0,False,46.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,6.0,0.0,False,48.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,8.0,0.0,False,43.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,8.0,4.0,False,49.0
100.0,Motorcycles,150.0,Finland,Medium,2004.0,9.0,3.0,False,24.0
100.0,Motorcycles,150.0,Norway,Medium,2004.0,10.0,4.0,False,26.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,11.0,2.0,False,30.0
100.0,Motorcycles,150.0,USA,Medium,2004.0,11.0,0.0,False,24.0
100.0,Motorcycles,150.0,Austria,Large,2004.0,11.0,2.0,False,55.0
100.0,Motorcycles,150.0,USA,Medium,2005.0,1.0,2.0,False,22.0
78.92,Motorcycles,150.0,France,Medium,2005.0,2.0,3.0,False,49.0
100.0,Motorcycles,150.0,USA,Medium,2005.0,3.0,3.0,False,44.0
100.0,Motorcycles,150.0,UK,Large,2005.0,4.0,4.0,False,66.0
100.0,Motorcycles,150.0,Spain,Medium,2005.0,5.0,4.0,False,21.0
100.0,Classic Cars,151.0,Spain,Medium,2003.0,1.0,4.0,False,34.0
100.0,Classic Cars,151.0,Singapore,Medium,2003.0,4.0,2.0,False,43.0
100.0,Classic Cars,151.0,USA,Large,2003.0,6.0,1.0,False,46.0
100.0,Classic Cars,151.0,USA,Medium,2003.0,8.0,4.0,False,33.0
100.0,Classic Cars,151.0,Spain,Medium,2003.0,9.0,6.0,False,42.0
100.0,Classic Cars,151.0,Singapore,Medium,2003.0,10.0,2.0,False,34.0
100.0,Classic Cars,151.0,Italy,Large,2003.0,11.0,3.0,False,47.0
100.0,Classic Cars,151.0,USA,Medium,2003.0,11.0,4.0,False,33.0
100.0,Classic Cars,151.0,USA,Medium,2003.0,11.0,2.0,False,24.0
100.0,Classic Cars,151.0,France,Medium,2004.0,1.0,4.0,False,26.0
100.0,Classic Cars,151.0,Ireland,Medium,2004.0,2.0,3.0,False,30.0
100.0,Classic Cars,151.0,Germany,Large,2004.0,3.0,0.0,False,43.0
100.0,Classic Cars,151.0,Finland,Medium,2004.0,5.0,2.0,False,25.0
100.0,Classic Cars,151.0,USA,Medium,2004.0,7.0,1.0,False,27.0
100.0,Classic Cars,151.0,USA,Medium,2004.0,8.0,4.0,False,27.0
100.0,Classic Cars,151.0,Italy,Medium,2004.0,9.0,3.0,False,24.0
100.0,Classic Cars,151.0,UK,Medium,2004.0,10.0,3.0,False,34.0
100.0,Classic Cars,151.0,Denmark,Medium,2004.0,10.0,4.0,False,46.0
54.33,Classic Cars,151.0,USA,Small,2004.0,11.0,4.0,False,27.0
100.0,Classic Cars,151.0,France,Medium,2004.0,11.0,5.0,False,33.0
100.0,Classic Cars,151.0,Spain,Medium,2004.0,11.0,0.0,True,47.0
55.34,Classic Cars,151.0,Spain,Small,2004.0,12.0,4.0,False,49.0
100.0,Classic Cars,151.0,Japan,Medium,2005.0,1.0,2.0,False,40.0
100.0,Classic Cars,151.0,USA,Medium,2005.0,2.0,3.0,False,37.0
100.0,Classic Cars,151.0,USA,Large,2005.0,5.0,3.0,False,47.0
100.0,Classic Cars,117.0,Philippines,Medium,2003.0,3.0,0.0,False,45.0
99.82,Classic Cars,117.0,France,Medium,2003.0,5.0,3.0,True,37.0
100.0,Classic Cars,117.0,USA,Medium,2003.0,7.0,2.0,False,48.0
100.0,Classic Cars,117.0,USA,Medium,2003.0,9.0,4.0,False,31.0
100.0,Classic Cars,117.0,USA,Medium,2003.0,10.0,5.0,False,46.0
100.0,Classic Cars,117.0,Austria,Medium,2003.0,11.0,1.0,False,47.0
100.0,Classic Cars,117.0,Norway,Small,2003.0,11.0,2.0,False,28.0
100.0,Classic Cars,117.0,Germany,Medium,2003.0,11.0,3.0,False,40.0
100.0,Classic Cars,117.0,Spain,Small,2003.0,12.0,1.0,False,20.0
100.0,Classic Cars,117.0,Spain,Medium,2004.0,1.0,4.0,False,39.0
99.82,Classic Cars,117.0,Switzerland,Small,2004.0,2.0,6.0,False,25.0
100.0,Classic Cars,117.0,Denmark,Medium,2004.0,4.0,4.0,False,29.0
100.0,Classic Cars,117.0,UK,Small,2004.0,6.0,1.0,False,22.0
100.0,Classic Cars,117.0,Italy,Small,2004.0,7.0,1.0,False,22.0
100.0,Classic Cars,117.0,USA,Medium,2004.0,8.0,0.0,False,47.0
100.0,Classic Cars,117.0,Switzerland,Medium,2004.0,8.0,0.0,False,45.0
100.0,Classic Cars,117.0,Germany,Medium,2003.0,10.0,5.0,False,29.0
100.0,Classic Cars,117.0,Germany,Medium,2004.0,10.0,5.0,False,24.0
100.0,Classic Cars,117.0,Sweden,Medium,2004.0,11.0,2.0,False,35.0
83.63,Classic Cars,117.0,USA,Medium,2004.0,11.0,0.0,False,46.0
95.93,Classic Cars,117.0,Austria,Medium,2004.0,11.0,2.0,False,44.0
96.73,Classic Cars,117.0,Finland,Medium,2005.0,1.0,3.0,False,34.0
100.0,Classic Cars,117.0,USA,Medium,2005.0,2.0,1.0,False,35.0
72.38,Classic Cars,117.0,Sweden,Small,2005.0,3.0,3.0,False,25.0
100.0,Classic Cars,117.0,Austria,Small,2005.0,5.0,1.0,False,10.0
100.0,Classic Cars,173.0,Denmark,Medium,2003.0,2.0,1.0,False,29.0
100.0,Classic Cars,173.0,Singapore,Medium,2003.0,4.0,2.0,False,39.0
100.0,Classic Cars,173.0,USA,Large,2003.0,6.0,1.0,False,42.0
100.0,Classic Cars,173.0,USA,Large,2003.0,8.0,4.0,False,46.0
100.0,Classic Cars,173.0,Spain,Large,2003.0,9.0,6.0,False,49.0
100.0,Classic Cars,173.0,Singapore,Medium,2003.0,10.0,2.0,False,27.0
100.0,Classic Cars,173.0,Italy,Large,2003.0,11.0,3.0,False,50.0
100.0,Classic Cars,173.0,USA,Large,2003.0,11.0,4.0,False,43.0
100.0,Classic Cars,173.0,USA,Large,2003.0,11.0,2.0,False,38.0
100.0,Classic Cars,173.0,France,Medium,2004.0,1.0,4.0,False,20.0
100.0,Classic Cars,173.0,Ireland,Medium,2004.0,2.0,3.0,False,27.0
100.0,Classic Cars,173.0,Spain,Medium,2004.0,3.0,4.0,False,49.0
100.0,Classic Cars,173.0,Finland,Medium,2004.0,5.0,2.0,False,27.0
100.0,Classic Cars,173.0,USA,Large,2004.0,7.0,1.0,False,39.0
100.0,Classic Cars,173.0,USA,Medium,2004.0,8.0,4.0,False,24.0
100.0,Classic Cars,173.0,Italy,Large,2004.0,9.0,3.0,False,45.0
100.0,Classic Cars,173.0,UK,Medium,2004.0,10.0,3.0,False,20.0
100.0,Classic Cars,173.0,Denmark,Medium,2004.0,10.0,4.0,False,36.0
100.0,Classic Cars,173.0,Norway,Small,2004.0,11.0,4.0,False,24.0
